Number of weeks,Description,All retailing,All retailing except automotive fuel,Predominantly food stores,Non-specialised stores (i.e supermarkets),Specialist food stores (i.e butchers and bakers),"Alcoholic drink, beverages & tobacco",Predominantly non-food stores,Non-specialised stores (i.e department stores),Other non-food stores,Dispensing chemists,Medical goods,Cosmetics and toilet articles,Computers & telecoms equipment,"Carpets, rugs, wall & coverings","Books, newspapers & stationery","Sports equipment, games and toys",Watches and jewellery,"Flowers, plants, seeds, fertilisers, pet animals and pet food",Other retail sales of new goods in specialised stores,Second-hand goods,"Textile, clothing & footwear stores",Textiles,Clothing,Footwear and leather goods,Household goods stores,"Furniture, lighting and household articles n.e.c",Electrical household aplliances,"Hardware, paints and glass",Music and video recordings & equiptment,Non-store retailing,Mail order,Fuel
,AGG/SIC,AGG21,AGG21X,AGG1,47.11,AGG26,AGG27,AGG12,47.19,AGG13,47.73,47.74,47.75,AGG32,47.53,AGG35,AGG33,47.77,47.76,47.78,47.79,AGG5,47.51,47.71,47.72,AGG7,47.59,47.54,47.52,AGG31,AGG14,47.91,47.3
4.0,2007JAN,22545522,20254483,9003770,8149885.0,504862,349023,10311928,1805357.0,3104568,85717.0,36878.0,187562.0,469395,201818.0,383350,406332,251033.0,258878.0,693189.0,130416.0,2775438,72394.0,2427935.0,275109.0,2626565,843355.0,718881.0,877596.0,186733,938785,738284.0,2291039.0
4.0,2007FEB,22906700,20613281,9096293,8234293.0,519740,342260,10560061,1807661.0,3142817,88204.0,35929.0,186111.0,473516,203208.0,382720,423357,258267.0,265576.0,694987.0,130942.0,2925720,88105.0,2548070.0,289545.0,2683863,885444.0,740979.0,868122.0,189318,956927,757762.0,2293419.0
5.0,2007MAR,28956336,25986679,11426763,10326332.0,659241,441190,13379509,2297882.0,3995204,109457.0,47022.0,236558.0,593665,255990.0,479211,543845,342802.0,343284.0,901484.0,141886.0,3689316,108077.0,3211817.0,369422.0,3397107,1155179.0,935707.0,1067639.0,238582,1180407,945496.0,2969657.0
4.0,2007APR,23394689,20877598,9163905,8294560.0,513185,356160,10756162,1838787.0,3220551,87231.0,33020.0,191898.0,424360,187744.0,363073,446861,292420.0,299111.0,774641.0,120192.0,3067135,81932.0,2658172.0,327031.0,2629689,871845.0,687107.0,889571.0,181166,957531,776929.0,2517091.0
4.0,2007MAY,23172056,20774401,9154822,8286333.0,521579,346910,10654840,1822311.0,3230994,85955.0,27962.0,192557.0,497454,201006.0,378168,433480,281861.0,282382.0,729552.0,120617.0,2926298,80521.0,2548233.0,297544.0,2675237,919378.0,707071.0,864868.0,183920,964739,793552.0,2397655.0
5.0,2007JUN,29134886,26107966,11404382,10325092.0,661722,417568,13479523,2350107.0,4060334,108358.0,47802.0,231670.0,593390,269726.0,475131,537166,360226.0,360048.0,921991.0,154826.0,3661561,99753.0,3186094.0,375714.0,3407521,1158650.0,927578.0,1078183.0,243110,1224061,1002860.0,3026920.0
4.0,2007JUL,23253861,20857035,9147141,8284615.0,535301,327225,10733114,1908566.0,3203976,83066.0,44292.0,186663.0,458073,211039.0,374959,422593,284257.0,287225.0,734362.0,117447.0,2914493,68778.0,2541239.0,304476.0,2706079,922191.0,728280.0,853982.0,201626,976780,814207.0,2396826.0
4.0,2007AUG,23292313,20885715,9251577,8402127.0,521039,328411,10670135,1879215.0,3192937,86421.0,37992.0,192728.0,455291,203898.0,366068,421492,288410.0,289800.0,719414.0,131423.0,2946779,64928.0,2566825.0,315026.0,2651204,880087.0,700544.0,881763.0,188810,964003,813401.0,2406598.0
5.0,2007SEP,29279715,26241578,11645971,10581339.0,657448,407184,13386911,2366374.0,4018537,139415.0,44320.0,244393.0,568771,269142.0,464190,521058,359546.0,367659.0,892528.0,147515.0,3711967,78748.0,3256875.0,376344.0,3290033,1084848.0,889744.0,1078980.0,236461,1208696,1012046.0,3038137.0
